message_id,text,category,urgency,source
MSG-1245,Water levels low at the community tank close to Mysore Road.,Water,Medium,synthetic
MSG-1900,"Water level rising fast near the highway bridge area, families stuck on rooftops.",Flood/Rescue,Critical,synthetic
MSG-2036,"Trapped in a car due to flooding near Hebbal, water rising.",Flood/Rescue,Low,synthetic
MSG-1988,"Families near Electronic City running low on food supplies, need help soon.",Food,Medium,synthetic
MSG-1897,"Families near Sector 12 running low on food supplies, need help soon.",Food,Low,synthetic
MSG-1164,"Minor waterlogging close to Yelahanka, roads slow but passable.",Flood/Rescue,Low,synthetic
MSG-1340,"Contaminated water near Koramangala, urgent need for clean water and purification.",Water,Low,synthetic
MSG-1543,"Someone collapsed near the old bus stand area, breathing heavily, please send an ambulance.",Medical,Critical,synthetic
MSG-1345,"Smell of smoke near the old bus stand area, not sure of source yet.",Fire,Critical,synthetic
MSG-1231,"Small electrical fire near Yelahanka, under control but need fire dept.",Fire,Critical,synthetic
MSG-1199,"Just checking in, everyone in my family near the government school is safe.",Other/Irrelevant,Low,synthetic
MSG-1421,Road completely blocked near Hebbal due to fallen trees.,Infrastructure,Medium,synthetic
MSG-1885,Bridge near Koramangala looks structurally unsafe after the storm.,Infrastructure,High,synthetic
MSG-1069,"Minor waterlogging near Yelahanka, roads slow but passable.",Flood/Rescue,Critical,synthetic
MSG-2184,Our street is flooded and elderly people need rescue near Mysore Road.,Flood/Rescue,Critical,synthetic
MSG-1861,"Elderly person with chest pain at Koramangala, needs urgent medical attention.",Medical,Critical,synthetic
MSG-1385,Can someone confirm if schools near Yelahanka are closed tomorrow?,Other/Irrelevant,Medium,synthetic
MSG-1654,"Smell of smoke close to the highway bridge area, not sure of source yet.",Fire,Critical,synthetic
MSG-1416,"Camp near Hebbal is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1992,"Power lines down near Hebbal, risk of electrocution.",Infrastructure,High,synthetic
MSG-1432,Bridge near Yelahanka looks structurally unsafe after the storm.,Infrastructure,Critical,synthetic
MSG-2030,"Power lines down near Whitefield, risk of electrocution.",Infrastructure,Low,synthetic
MSG-1718,Is the market near the riverside colony open today?,Other/Irrelevant,Low,synthetic
MSG-1059,"We have a pregnant woman in labor close to Anekal, no doctor available.",Medical,High,synthetic
MSG-2192,"Roof collapsed partially near the old bus stand area, need shelter for the night.",Shelter,High,synthetic
MSG-1793,"Water supply cut off near the government school since yesterday, need water tankers.",Water,High,synthetic
MSG-1572,Thank you to the volunteers who helped near Koramangala yesterday.,Other/Irrelevant,Low,synthetic
MSG-1627,"Families near Yelahanka running low on food supplies, need help soon.",Food,Critical,synthetic
MSG-1123,"Fire has broken out close to Marathahalli, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-1354,Can someone confirm if schools near Electronic City are closed tomorrow?,Other/Irrelevant,Low,synthetic
MSG-1763,Can someone confirm if schools near Whitefield are closed tomorrow?,Other/Irrelevant,Medium,synthetic
MSG-1950,"Smell of smoke near Whitefield, not sure of source yet.",Fire,Medium,synthetic
MSG-2064,"Trapped in a car due to flooding near the old bus stand area, water rising.",Flood/Rescue,Low,synthetic
MSG-1983,Water levels low at the community tank near Whitefield.,Water,Medium,synthetic
MSG-1058,"We have a pregnant woman in labor near Anekal, no doctor available.",Medical,High,synthetic
MSG-1648,"Minor waterlogging near Yelahanka, roads slow but passable.",Flood/Rescue,Medium,synthetic
MSG-1550,"Three people including several families are badly injured near Sector 12, need medical help urgently.",Medical,Medium,synthetic
MSG-1374,"Ran out of baby food near Koramangala, urgent for infants.",Food,Medium,synthetic
MSG-1880,"Families displaced near Whitefield, looking for temporary shelter.",Shelter,Critical,synthetic
MSG-1789,"Flood water entering homes at the government school, need boats for rescue.",Flood/Rescue,Critical,synthetic
MSG-1113,"Water supply cut off near Electronic City since yesterday, need water tankers.",Water,High,synthetic
MSG-1312,Is the market near Whitefield open today?,Other/Irrelevant,Low,synthetic
MSG-1315,"Contaminated water near Koramangala, urgent need for clean water and purification.",Water,High,synthetic
MSG-1450,Can someone confirm if schools near the highway bridge area are closed tomorrow?,Other/Irrelevant,Low,synthetic
MSG-1720,"Building on fire at Anekal, multiple people including pregnant women inside.",Fire,Critical,synthetic
MSG-1972,"Camp near Whitefield is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1140,"Minor waterlogging near Mysore Road, roads slow but passable.",Flood/Rescue,Critical,synthetic
MSG-1824,"Someone collapsed near Yelahanka, breathing heavily, please send an ambulance.",Medical,Critical,synthetic
MSG-1856,"Sharing updates from local news about the old bus stand area, nothing urgent.",Other/Irrelevant,Medium,synthetic
MSG-1314,Is the market near the government school open today?,Other/Irrelevant,Medium,synthetic
MSG-1823,Water levels low at the community tank near Koramangala.,Water,Critical,synthetic
MSG-1827,"Fire has broken out near Hebbal, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-1770,"Roof collapsed partially near Indiranagar, need shelter for the night.",Shelter,Low,synthetic
MSG-1989,"Camp near the government school is over capacity, need additional shelter space.",Shelter,Medium,synthetic
MSG-1224,Bridge near Marathahalli looks structurally unsafe after the storm.,Infrastructure,Low,synthetic
MSG-1928,No food available for young children near Koramangala for two days now.,Food,Medium,synthetic
MSG-1035,Our street is flooded and an infant need rescue near Mysore Road.,Flood/Rescue,Medium,synthetic
MSG-2056,No food available for young children near Mysore Road for two days now.,Food,Critical,synthetic
MSG-1459,"Just checking in, everyone in my family near the old bus stand area is safe.",Other/Irrelevant,Low,synthetic
MSG-1401,Our street is flooded and pregnant women need rescue near Hebbal.,Flood/Rescue,High,synthetic
MSG-1852,Road completely blocked near the government school due to fallen trees.,Infrastructure,Medium,synthetic
MSG-1807,"No clean drinking water close to Hebbal, people falling sick.",Water,Critical,synthetic
MSG-1319,"Families displaced close to Jayanagar, looking for temporary shelter.",Shelter,High,synthetic
MSG-1712,"Building on fire at the government school, multiple people including senior citizens inside.",Fire,High,synthetic
MSG-1077,Requesting food packets for a shelter camp close to Electronic City.,Food,Critical,synthetic
MSG-1576,"Families displaced near Yelahanka, looking for temporary shelter.",Shelter,High,synthetic
MSG-1181,"Homes damaged near Yelahanka, elderly people need emergency shelter tonight.",Shelter,High,synthetic
MSG-2142,"Families near the old bus stand area running low on food supplies, need help soon.",Food,High,synthetic
MSG-1142,"Minor cuts and bruises from the incident near Yelahanka, first aid would help.",Medical,Critical,synthetic
MSG-1978,"Trapped in a car due to flooding near Indiranagar, water rising.",Flood/Rescue,High,synthetic
MSG-1388,"Fire has broken out near the highway bridge area, spreading fast, people trapped inside.",Fire,High,synthetic
MSG-1551,"Homes damaged near the riverside colony, an infant need emergency shelter tonight.",Shelter,High,synthetic
MSG-1452,"Homes damaged near Electronic City, young children need emergency shelter tonight.",Shelter,Medium,synthetic
MSG-1924,"Fire has broken out near Koramangala, spreading fast, people trapped inside.",Fire,High,synthetic
MSG-1254,"Smell of smoke near Mysore Road, not sure of source yet.",Fire,High,synthetic
MSG-1375,"Smell of smoke near Koramangala, not sure of source yet.",Fire,Low,synthetic
MSG-2174,"Sharing updates from local news about the riverside colony, nothing urgent.",Other/Irrelevant,Low,synthetic
MSG-1782,Can someone confirm if schools near the government school are closed tomorrow?,Other/Irrelevant,Low,synthetic
MSG-1853,"Flood water entering homes at Jayanagar, need boats for rescue.",Flood/Rescue,Critical,synthetic
MSG-1204,"Ran out of baby food near Hebbal, urgent for infants.",Food,High,synthetic
MSG-1170,"Roof collapsed partially near Sector 12, need shelter for the night.",Shelter,High,synthetic
MSG-1902,"Camp near Marathahalli is over capacity, need additional shelter space.",Shelter,Medium,synthetic
MSG-2072,"Flood water entering homes at Electronic City, need boats for rescue.",Flood/Rescue,Medium,synthetic
MSG-1977,"Mobile network down near Mysore Road, people unable to call for help.",Infrastructure,High,synthetic
MSG-2014,"A dozen people including an infant are badly injured near Mysore Road, need medical help urgently.",Medical,Low,synthetic
MSG-1869,"Water level rising fast close to the government school, families stuck on rooftops.",Flood/Rescue,High,synthetic
MSG-1836,Can someone confirm if schools near the old bus stand area are closed tomorrow?,Other/Irrelevant,Medium,synthetic
MSG-1336,"Contaminated water near Indiranagar, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-1637,"Smell of smoke near Sector 12, not sure of source yet.",Fire,High,synthetic
MSG-1258,"Small electrical fire near the government school, under control but need fire dept.",Fire,Critical,synthetic
MSG-1656,Requesting food packets for a shelter camp near Sector 12.,Food,Medium,synthetic
MSG-1128,Requesting food packets for a shelter camp near Anekal.,Food,High,synthetic
MSG-2127,"Water supply cut off near Sector 12 since yesterday, need water tankers.",Water,Low,synthetic
MSG-2143,"Roof collapsed partially near Sector 12, need shelter for the night.",Shelter,Medium,synthetic
MSG-1138,"We have a pregnant woman in labor near the old bus stand area, no doctor available.",Medical,Medium,synthetic
MSG-1360,Is the market close to Hebbal open today?,Other/Irrelevant,Medium,synthetic
MSG-2114,"Roof collapsed partially near Marathahalli, need shelter for the night.",Shelter,High,synthetic
MSG-1496,"Flood water entering homes at Sector 12, need boats for rescue.",Flood/Rescue,Low,synthetic
MSG-2119,Is the market close to Sector 12 open today?,Other/Irrelevant,Low,synthetic
MSG-1026,"Water supply cut off close to the highway bridge area since yesterday, need water tankers.",Water,Medium,synthetic
MSG-2185,"Minor cuts and bruises from the incident near Hebbal, first aid would help.",Medical,High,synthetic
MSG-1024,"Elderly person with chest pain at Koramangala, needs urgent medical attention.",Medical,Critical,synthetic
MSG-1281,"Building on fire at Whitefield, multiple people including elderly people inside.",Fire,Critical,synthetic
MSG-1966,Bridge near Hebbal looks structurally unsafe after the storm.,Infrastructure,Critical,synthetic
MSG-1382,"Ran out of baby food near the highway bridge area, urgent for infants.",Food,High,synthetic
MSG-2024,"Fire has broken out near Yelahanka, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-1913,"Ran out of baby food near Jayanagar, urgent for infants.",Food,High,synthetic
MSG-1994,Requesting food packets for a shelter camp near Indiranagar.,Food,High,synthetic
MSG-1198,No food available for senior citizens near the highway bridge area for two days now.,Food,Low,synthetic
MSG-2120,"Flood water entering homes at Indiranagar, need boats for rescue.",Flood/Rescue,Medium,synthetic
MSG-1501,Our street is flooded and senior citizens need rescue near Hebbal.,Flood/Rescue,Critical,synthetic
MSG-1747,"Water level rising fast near Anekal, families stuck on rooftops.",Flood/Rescue,Critical,synthetic
MSG-1881,"Families displaced close to Whitefield, looking for temporary shelter.",Shelter,Critical,synthetic
MSG-1282,Can someone confirm if schools near Anekal are closed tomorrow?,Other/Irrelevant,Low,synthetic
MSG-1103,"Trapped in a car due to flooding near Jayanagar, water rising.",Flood/Rescue,High,synthetic
MSG-1083,"Camp near Sector 12 is over capacity, need additional shelter space.",Shelter,Low,synthetic
MSG-1399,"Contaminated water near Hebbal, urgent need for clean water and purification.",Water,Critical,synthetic
MSG-1487,"No clean drinking water near Hebbal, people falling sick.",Water,Critical,synthetic
MSG-1189,"Homes damaged near Electronic City, a disabled person need emergency shelter tonight.",Shelter,Low,synthetic
MSG-1355,"Trapped in a car due to flooding near Sector 12, water rising.",Flood/Rescue,High,synthetic
MSG-1878,"Homes damaged near Mysore Road, young children need emergency shelter tonight.",Shelter,Medium,synthetic
MSG-1607,"Contaminated water near the riverside colony, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-2059,"Fire has broken out near Koramangala, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-1599,"Smell of smoke near Mysore Road, not sure of source yet.",Fire,Critical,synthetic
MSG-1239,Requesting food packets for a shelter camp near Jayanagar.,Food,High,synthetic
MSG-2165,"Just checking in, everyone in my family near Jayanagar is safe.",Other/Irrelevant,Low,synthetic
MSG-1347,"Families near the riverside colony running low on food supplies, need help soon.",Food,Low,synthetic
MSG-1397,"Contaminated water near the government school, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-2071,"Camp near the riverside colony is over capacity, need additional shelter space.",Shelter,Low,synthetic
MSG-2145,Road completely blocked near Electronic City due to fallen trees.,Infrastructure,Critical,synthetic
MSG-1589,"Someone collapsed near Anekal, breathing heavily, please send an ambulance.",Medical,High,synthetic
MSG-2027,"Roof collapsed partially close to Whitefield, need shelter for the night.",Shelter,High,synthetic
MSG-1328,"Mobile network down near Koramangala, people unable to call for help.",Infrastructure,Medium,synthetic
MSG-1657,"Ran out of baby food near the riverside colony, urgent for infants.",Food,Medium,synthetic
MSG-1148,"Minor waterlogging near the government school, roads slow but passable.",Flood/Rescue,Critical,synthetic
MSG-1257,"Sharing updates from local news about Hebbal, nothing urgent.",Other/Irrelevant,Low,synthetic
MSG-1729,"Small electrical fire near the riverside colony, under control but need fire dept.",Fire,Medium,synthetic
MSG-2110,"Water supply cut off near Sector 12 since yesterday, need water tankers.",Water,Medium,synthetic
MSG-1509,"Someone collapsed near Jayanagar, breathing heavily, please send an ambulance.",Medical,Low,synthetic
MSG-2087,"Minor cuts and bruises from the incident near Anekal, first aid would help.",Medical,Medium,synthetic
MSG-2095,"Families near Jayanagar running low on food supplies, need help soon.",Food,Critical,synthetic
MSG-2018,Requesting food packets for a shelter camp close to Anekal.,Food,High,synthetic
MSG-1252,"No clean drinking water near Jayanagar, people falling sick.",Water,Medium,synthetic
MSG-1425,"Families near Jayanagar running low on food supplies, need help soon.",Food,Critical,synthetic
MSG-1890,"Contaminated water near Sector 12, urgent need for clean water and purification.",Water,Critical,synthetic
MSG-1560,"Camp close to Electronic City is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1293,"Contaminated water near Sector 12, urgent need for clean water and purification.",Water,Low,synthetic
MSG-2075,Requesting food packets for a shelter camp near Mysore Road.,Food,Critical,synthetic
MSG-1606,"Roof collapsed partially near Whitefield, need shelter for the night.",Shelter,High,synthetic
MSG-1936,"Power lines down near Indiranagar, risk of electrocution.",Infrastructure,Critical,synthetic
MSG-2008,"We have a pregnant woman in labor near Indiranagar, no doctor available.",Medical,Medium,synthetic
MSG-1557,No food available for young children near Mysore Road for two days now.,Food,Medium,synthetic
MSG-1454,"Fire has broken out near the old bus stand area, spreading fast, people trapped inside.",Fire,Medium,synthetic
MSG-1514,"We have a pregnant woman in labor near the riverside colony, no doctor available.",Medical,Critical,synthetic
MSG-1594,"Ran out of baby food near the old bus stand area, urgent for infants.",Food,Medium,synthetic
MSG-1300,"Building on fire at Mysore Road, multiple people including young children inside.",Fire,Medium,synthetic
MSG-2152,"Sharing updates from local news about Whitefield, nothing urgent.",Other/Irrelevant,High,synthetic
MSG-1222,"Contaminated water near Marathahalli, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-2115,"No clean drinking water near the highway bridge area, people falling sick.",Water,High,synthetic
MSG-2181,"Homes damaged near Koramangala, several families need emergency shelter tonight.",Shelter,Critical,synthetic
MSG-1100,"Fire has broken out near Whitefield, spreading fast, people trapped inside.",Fire,High,synthetic
MSG-1938,Water levels low at the community tank near Mysore Road.,Water,High,synthetic
MSG-1372,"Someone collapsed near Electronic City, breathing heavily, please send an ambulance.",Medical,Medium,synthetic
MSG-1406,Bridge near Indiranagar looks structurally unsafe after the storm.,Infrastructure,Critical,synthetic
MSG-1362,"Five people including elderly people are badly injured near Yelahanka, need medical help urgently.",Medical,High,synthetic
MSG-1622,"Minor waterlogging close to Anekal, roads slow but passable.",Flood/Rescue,Critical,synthetic
MSG-1759,Is the market near Mysore Road open today?,Other/Irrelevant,Low,synthetic
MSG-1624,"Just checking in, everyone in my family near Hebbal is safe.",Other/Irrelevant,Low,synthetic
MSG-1039,Bridge near Koramangala looks structurally unsafe after the storm.,Infrastructure,Low,synthetic
MSG-1673,"Elderly person with chest pain at Indiranagar, needs urgent medical attention.",Medical,High,synthetic
MSG-1620,"Camp near Anekal is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1831,"Families displaced near Koramangala, looking for temporary shelter.",Shelter,Medium,synthetic
MSG-1195,"Someone collapsed near the old bus stand area, breathing heavily, please send an ambulance.",Medical,Medium,synthetic
MSG-1118,"Water level rising fast near Mysore Road, families stuck on rooftops.",Flood/Rescue,Critical,synthetic
MSG-1711,"Families near the old bus stand area running low on food supplies, need help soon.",Food,Medium,synthetic
MSG-1130,Requesting food packets for a shelter camp near Sector 12.,Food,Low,synthetic
MSG-1430,Our street is flooded and an infant need rescue near the riverside colony.,Flood/Rescue,High,synthetic
MSG-1743,"Building on fire at Hebbal, multiple people including several families inside.",Fire,High,synthetic
MSG-1034,"Minor waterlogging near Hebbal, roads slow but passable.",Flood/Rescue,High,synthetic
MSG-1289,No food available for an infant near Anekal for two days now.,Food,High,synthetic
MSG-2103,"Camp near the riverside colony is over capacity, need additional shelter space.",Shelter,Critical,synthetic
MSG-1922,"Families displaced near Anekal, looking for temporary shelter.",Shelter,Critical,synthetic
MSG-1285,"Fire has broken out near Indiranagar, spreading fast, people trapped inside.",Fire,High,synthetic
MSG-1122,"Fire has broken out near Marathahalli, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-1828,Requesting food packets for a shelter camp near Koramangala.,Food,Critical,synthetic
MSG-2053,Our street is flooded and several families need rescue close to the old bus stand area.,Flood/Rescue,High,synthetic
MSG-2176,"Camp near Koramangala is over capacity, need additional shelter space.",Shelter,Critical,synthetic
MSG-2083,"Minor waterlogging near Whitefield, roads slow but passable.",Flood/Rescue,High,synthetic
MSG-1145,"Camp near the old bus stand area is over capacity, need additional shelter space.",Shelter,Critical,synthetic
MSG-1080,"Mobile network down close to Anekal, people unable to call for help.",Infrastructure,Medium,synthetic
MSG-1515,"No clean drinking water near Electronic City, people falling sick.",Water,High,synthetic
MSG-1352,"No clean drinking water near Mysore Road, people falling sick.",Water,Medium,synthetic
MSG-1518,Bridge near Koramangala looks structurally unsafe after the storm.,Infrastructure,High,synthetic
MSG-1357,"Camp near Electronic City is over capacity, need additional shelter space.",Shelter,Medium,synthetic
MSG-1699,No food available for a disabled person near Hebbal for two days now.,Food,Low,synthetic
MSG-1018,"Three people including an infant are badly injured near Anekal, need medical help urgently.",Medical,Medium,synthetic
MSG-1999,Can someone confirm if schools near Hebbal are closed tomorrow?,Other/Irrelevant,Low,synthetic
MSG-1141,"Building on fire at Marathahalli, multiple people including an infant inside.",Fire,Critical,synthetic
MSG-1709,"Flood water entering homes at Indiranagar, need boats for rescue.",Flood/Rescue,Critical,synthetic
MSG-1001,Our street is flooded and a disabled person need rescue near Electronic City.,Flood/Rescue,Critical,synthetic
MSG-2052,Our street is flooded and several families need rescue near the old bus stand area.,Flood/Rescue,High,synthetic
MSG-1264,"Smell of smoke near Koramangala, not sure of source yet.",Fire,Medium,synthetic
MSG-1764,"Minor cuts and bruises from the incident near the riverside colony, first aid would help.",Medical,High,synthetic
MSG-1681,Road completely blocked close to Koramangala due to fallen trees.,Infrastructure,High,synthetic
MSG-1882,"Building on fire at Sector 12, multiple people including a disabled person inside.",Fire,Medium,synthetic
MSG-1790,Requesting food packets for a shelter camp near Mysore Road.,Food,High,synthetic
MSG-1228,Bridge close to Indiranagar looks structurally unsafe after the storm.,Infrastructure,High,synthetic
MSG-1692,"Building on fire at Marathahalli, multiple people including a disabled person inside.",Fire,High,synthetic
MSG-1558,"Families displaced near the government school, looking for temporary shelter.",Shelter,Medium,synthetic
MSG-1240,Requesting food packets for a shelter camp close to Jayanagar.,Food,High,synthetic
MSG-1013,"Someone collapsed near Mysore Road, breathing heavily, please send an ambulance.",Medical,High,synthetic
MSG-1108,Road completely blocked near the government school due to fallen trees.,Infrastructure,High,synthetic
MSG-1151,"Flood water entering homes at the highway bridge area, need boats for rescue.",Flood/Rescue,Medium,synthetic
MSG-1201,"Sharing updates from local news about Mysore Road, nothing urgent.",Other/Irrelevant,Low,synthetic
MSG-1286,"Fire has broken out near the riverside colony, spreading fast, people trapped inside.",Fire,Critical,synthetic
MSG-2086,"Minor cuts and bruises from the incident near Anekal, first aid would help.",Medical,High,synthetic
MSG-1912,"Elderly person with chest pain at Marathahalli, needs urgent medical attention.",Medical,Medium,synthetic
MSG-1008,"Families displaced near Koramangala, looking for temporary shelter.",Shelter,Medium,synthetic
MSG-1826,Water levels low at the community tank near Sector 12.,Water,Medium,synthetic
MSG-1713,"Elderly person with chest pain at Whitefield, needs urgent medical attention.",Medical,Critical,synthetic
MSG-1351,No food available for elderly people near Marathahalli for two days now.,Food,High,synthetic
MSG-1772,"Contaminated water near Jayanagar, urgent need for clean water and purification.",Water,Low,synthetic
MSG-1666,"Camp near Mysore Road is over capacity, need additional shelter space.",Shelter,Medium,synthetic
MSG-1531,"Fire has broken out close to Koramangala, spreading fast, people trapped inside.",Fire,Medium,synthetic
MSG-1724,"No clean drinking water near the highway bridge area, people falling sick.",Water,Critical,synthetic
MSG-1751,"Power lines down near the old bus stand area, risk of electrocution.",Infrastructure,High,synthetic
MSG-1748,"Power lines down near Anekal, risk of electrocution.",Infrastructure,High,synthetic
MSG-1993,"Families displaced near Indiranagar, looking for temporary shelter.",Shelter,Critical,synthetic
MSG-2190,"Trapped in a car due to flooding near Yelahanka, water rising.",Flood/Rescue,Critical,synthetic
MSG-1062,Bridge near the highway bridge area looks structurally unsafe after the storm.,Infrastructure,High,synthetic
MSG-1706,Requesting food packets for a shelter camp near Marathahalli.,Food,Medium,synthetic
MSG-1816,"Building on fire at Jayanagar, multiple people including pregnant women inside.",Fire,Critical,synthetic
MSG-1695,"Families near the old bus stand area running low on food supplies, need help soon.",Food,Medium,synthetic
MSG-2146,No food available for pregnant women near the highway bridge area for two days now.,Food,Critical,synthetic
MSG-1756,"Camp near Anekal is over capacity, need additional shelter space.",Shelter,High,synthetic
MSG-1804,Water levels low at the community tank near the old bus stand area.,Water,Low,synthetic
MSG-1471,"Contaminated water near Anekal, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-1234,"Families displaced near Marathahalli, looking for temporary shelter.",Shelter,High,synthetic
MSG-1513,"Families near Koramangala running low on food supplies, need help soon.",Food,High,synthetic
MSG-1662,"Five people including pregnant women are badly injured near Koramangala, need medical help urgently.",Medical,High,synthetic
MSG-2136,"Flood water entering homes at Indiranagar, need boats for rescue.",Flood/Rescue,Medium,synthetic
MSG-1968,"Minor waterlogging near Whitefield, roads slow but passable.",Flood/Rescue,Medium,synthetic
MSG-2113,Is the market close to Electronic City open today?,Other/Irrelevant,Low,synthetic
MSG-1921,"Power lines down near Hebbal, risk of electrocution.",Infrastructure,Critical,synthetic
MSG-2022,Our street is flooded and an infant need rescue near the highway bridge area.,Flood/Rescue,Medium,synthetic
MSG-1532,"Mobile network down near Hebbal, people unable to call for help.",Infrastructure,Medium,synthetic
MSG-1740,"Families near Hebbal running low on food supplies, need help soon.",Food,Critical,synthetic
MSG-1074,Road completely blocked near Marathahalli due to fallen trees.,Infrastructure,Medium,synthetic
MSG-1690,"Families close to Anekal running low on food supplies, need help soon.",Food,Low,synthetic
MSG-1778,"Water supply cut off near the highway bridge area since yesterday, need water tankers.",Water,Low,synthetic
MSG-2153,"Minor cuts and bruises from the incident near Koramangala, first aid would help.",Medical,Critical,synthetic
MSG-1226,"Families displaced near the government school, looking for temporary shelter.",Shelter,Medium,synthetic
MSG-1440,"Small electrical fire near Hebbal, under control but need fire dept.",Fire,Low,synthetic
MSG-1814,"Contaminated water near Electronic City, urgent need for clean water and purification.",Water,Medium,synthetic
MSG-1926,"Families near Marathahalli running low on food supplies, need help soon.",Food,High,synthetic
MSG-1203,Bridge near the government school looks structurally unsafe after the storm.,Infrastructure,Medium,synthetic
MSG-1665,Is the market near Koramangala open today?,Other/Irrelevant,Low,synthetic
MSG-1287,"Elderly person with chest pain at Marathahalli, needs urgent medical attention.",Medical,Medium,synthetic
MSG-1494,"Flood water entering homes at the highway bridge area, need boats for rescue.",Flood/Rescue,Critical,synthetic
MSG-1905,Thank you to the volunteers who helped near Indiranagar yesterday.,Other/Irrelevant,Low,synthetic
MSG-1668,"Homes damaged near Marathahalli, young children need emergency shelter tonight.",Shelter,Critical,synthetic
MSG-1040,Is the market near Sector 12 open today?,Other/Irrelevant,Low,synthetic
MSG-1390,Can someone confirm if schools near Mysore Road are closed tomorrow?,Other/Irrelevant,Medium,synthetic
MSG-1412,"Water supply cut off near Whitefield since yesterday, need water tankers.",Water,High,synthetic
MSG-1244,Water levels low at the community tank near Mysore Road.,Water,Medium,synthetic
MSG-1067,"Homes damaged near Anekal, a disabled person need emergency shelter tonight.",Shelter,Medium,synthetic
MSG-1307,Requesting food packets for a shelter camp near Mysore Road.,Food,Low,synthetic
MSG-2168,Bridge near Hebbal looks structurally unsafe after the storm.,Infrastructure,Medium,synthetic
MSG-1365,"Power lines down near the government school, risk of electrocution.",Infrastructure,Critical,synthetic
MSG-1737,"Smell of smoke near Whitefield, not sure of source yet.",Fire,High,synthetic
