message_id,text,category,urgency_level,provenance,urgency_label_source
83,Is there a helpline number for general questions about East Ward?,Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
84,"Communication tower near Sunrise Township is down, injured",Infrastructure,High,synthetic,keyword_tier_heuristic
85,"Power lines down at Harbor District, general inquiry",Infrastructure,Low,synthetic,keyword_tier_heuristic
86,Just wanted to say thank you to the volunteers at Hilltop Nagar,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
87,"No clean water available at Central Market for two days, power has been out",Water,Medium,synthetic,keyword_tier_heuristic
88,Medical emergency at Rosewood Lane - the shopkeeper minor injury,Medical,Medium,synthetic,keyword_tier_heuristic
89,"River overflowing near Palm Grove, road partially blocked, send rescue team",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
90,Medical emergency at Koramangala - an unknown man child missing,Medical,High,synthetic,keyword_tier_heuristic
91,"Bridge near Station Road is damaged, rising water fast, road unsafe",Infrastructure,High,synthetic,keyword_tier_heuristic
92,"Bridge near East Ward is damaged, power has been out, road unsafe",Infrastructure,Medium,synthetic,keyword_tier_heuristic
93,"Families at Harbor District have run out of food, low on supplies",Food,Medium,synthetic,keyword_tier_heuristic
94,"Need water tanker sent to Marina Road, water rising slowly",Water,Medium,synthetic,keyword_tier_heuristic
95,"Requesting tents and shelter material at Hilltop Nagar, rising water fast",Shelter,High,synthetic,keyword_tier_heuristic
96,"River overflowing near Harbor District, not breathing, send rescue team",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
97,"Homes destroyed near Rosewood Lane, families need shelter, general inquiry",Shelter,Low,synthetic,keyword_tier_heuristic
98,"Kitchen fire at Sector 12, stranded, please respond",Fire,High,synthetic,keyword_tier_heuristic
99,"Communication tower near Millbrook is down, minor injury",Infrastructure,Medium,synthetic,keyword_tier_heuristic
100,"Kitchen fire at Whitefield, smoke everywhere, please respond",Fire,High,synthetic,keyword_tier_heuristic
101,"Random test message, please ignore, sent from North Bridge same location as before",Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
102,"Communication tower near Sunrise Township is down, low on supplies",Infrastructure,Medium,synthetic,keyword_tier_heuristic
103,"No clean water available at Green Valley for two days, roof caving in",Water,High,synthetic,keyword_tier_heuristic
104,"Need food supplies delivered to Fairview Estate, elderly stuck same location as before",Food,High,synthetic,keyword_tier_heuristic
105,"Water levels needs help soon at Fairview Estate, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
106,"Building stranded at Whitefield, smoke visible for miles",Fire,High,synthetic,keyword_tier_heuristic
107,"Need water tanker sent to Millbrook, collapsed same location as before",Water,Critical,synthetic,keyword_tier_heuristic
108,"Water levels stranded at Sunrise Township, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
109,"Displaced families waiting outside Koramangala, elderly stuck",Shelter,High,synthetic,keyword_tier_heuristic
110,"Fire spreading fast near Whitefield, a child trapped",Fire,Critical,synthetic,keyword_tier_heuristic
111,"No clean water available at Rosewood Lane for two days, feeling unwell",Water,Medium,synthetic,keyword_tier_heuristic
112,"Fire reported at Station Road, unconscious, need fire brigade immediately",Fire,Critical,synthetic,keyword_tier_heuristic
113,"Need an ambulance at Harbor District, an unknown man not breathing",Medical,Critical,synthetic,keyword_tier_heuristic
114,"Building on fire at Fairview Estate, smoke visible for miles",Fire,Critical,synthetic,keyword_tier_heuristic
115,"Temporary shelter overcrowded at East Ward, stranded same location as before",Shelter,High,synthetic,keyword_tier_heuristic
116,"Power lines down at Central Market, feeling unwell",Infrastructure,Medium,synthetic,keyword_tier_heuristic
117,"Random test message, please ignore, sent from Riverside Colony",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
118,"Bridge near Marina Road is damaged, gas leak, road unsafe",Infrastructure,High,synthetic,keyword_tier_heuristic
119,"Drinking water contaminated at East Ward, trapped",Water,Critical,synthetic,keyword_tier_heuristic
120,"No clean water available at Hilltop Nagar for two days, requesting information",Water,Low,synthetic,keyword_tier_heuristic
121,"We are trapped by flood water near Fairview Estate, stranded same location as before",Flood/Rescue,High,synthetic,keyword_tier_heuristic
122,"Homes destroyed near Whitefield, families need shelter, stranded",Shelter,High,synthetic,keyword_tier_heuristic
123,"Building collapsed at Hilltop Nagar, smoke visible for miles",Fire,Critical,synthetic,keyword_tier_heuristic
124,"Displaced families waiting outside Rosewood Lane, non-urgent request",Shelter,Low,synthetic,keyword_tier_heuristic
125,"Temporary shelter overcrowded at Hilltop Nagar, power has been out",Shelter,Medium,synthetic,keyword_tier_heuristic
126,"Need water tanker sent to Central Market, low on supplies",Water,Medium,synthetic,keyword_tier_heuristic
127,"Need an ambulance at Millbrook, an unknown man low on supplies",Medical,Medium,synthetic,keyword_tier_heuristic
128,Is there a helpline number for general questions about Old Town?,Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
129,"Fire spreading fast near East Ward, my father roof caving in",Fire,High,synthetic,keyword_tier_heuristic
130,"River overflowing near Old Town, feeling unwell, send rescue team",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
131,"Water supply cut off at Sector 12, needs help soon, many households affected",Water,Medium,synthetic,keyword_tier_heuristic
132,"a child is not breathing near Sector 12, please send medical help",Medical,Critical,synthetic,keyword_tier_heuristic
133,"Bridge near Harbor District is damaged, low on supplies, road unsafe",Infrastructure,Medium,synthetic,keyword_tier_heuristic
134,"Water supply cut off at East Ward, minor injury, many households affected",Water,Medium,synthetic,keyword_tier_heuristic
135,"Flooding at Rosewood Lane, a child injured, need boat rescue same location as before",Flood/Rescue,High,synthetic,keyword_tier_heuristic
136,"Need an ambulance at Lakeview Apartments, my father rising water fast",Medical,High,synthetic,keyword_tier_heuristic
137,"No clean water available at Sunrise Township for two days, child missing same location as before",Water,High,synthetic,keyword_tier_heuristic
138,"Flooding at Rosewood Lane, a child injured, need boat rescue",Flood/Rescue,High,synthetic,keyword_tier_heuristic
139,"Requesting tents and shelter material at Millbrook, non-urgent request",Shelter,Low,synthetic,keyword_tier_heuristic
140,"No food distribution has reached Rosewood Lane yet, minor leak",Food,Low,synthetic,keyword_tier_heuristic
141,"Fire spreading fast near Central Market, an unknown man roof caving in",Fire,High,synthetic,keyword_tier_heuristic
142,"Water levels water rising slowly at Millbrook, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
143,"Bridge near Green Valley is damaged, non-urgent request, road unsafe",Infrastructure,Low,synthetic,keyword_tier_heuristic
144,"No food distribution has reached Kings Cross yet, requesting information",Food,Low,synthetic,keyword_tier_heuristic
145,"Water levels gas leak at Old Town, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
146,"Someone collapsed at Sunrise Township, unconscious, need doctor urgently",Medical,Critical,synthetic,keyword_tier_heuristic
147,"Fire reported at Riverside Colony, cardiac arrest, need fire brigade immediately",Fire,Critical,synthetic,keyword_tier_heuristic
148,"Homes destroyed near Millbrook, families need shelter, smoke everywhere",Shelter,High,synthetic,keyword_tier_heuristic
149,"Drinking water contaminated at North Bridge, road partially blocked",Water,Medium,synthetic,keyword_tier_heuristic
150,"River overflowing near Marina Road, severe pain, send rescue team",Flood/Rescue,High,synthetic,keyword_tier_heuristic
151,"Requesting tents and shelter material at Hilltop Nagar, rising water fast same location as before",Shelter,High,synthetic,keyword_tier_heuristic
152,"Requesting tents and shelter material at Rosewood Lane, feeling unwell",Shelter,Medium,synthetic,keyword_tier_heuristic
153,"Sharing an update, everything seems calm near North Bridge today",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
154,"River overflowing near Rosewood Lane, bleeding heavily, send rescue team",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
155,"We are trapped by flood water near Fairview Estate, stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
156,"a child is needs help soon near Station Road, please send medical help",Medical,Medium,synthetic,keyword_tier_heuristic
157,"Someone collapsed at Green Valley, severe pain, need doctor urgently",Medical,High,synthetic,keyword_tier_heuristic
158,"Communication tower near Koramangala is down, water rising slowly",Infrastructure,Medium,synthetic,keyword_tier_heuristic
159,"Fire spreading fast near Sunrise Township, an elderly woman bleeding heavily",Fire,Critical,synthetic,keyword_tier_heuristic
160,"Main road to Whitefield blocked by debris, rising water fast",Infrastructure,High,synthetic,keyword_tier_heuristic
161,"Water supply cut off at Riverside Colony, rising water fast, many households affected",Water,High,synthetic,keyword_tier_heuristic
162,"Homes destroyed near Palm Grove, families need shelter, trapped",Shelter,Critical,synthetic,keyword_tier_heuristic
163,"Main road to Central Market blocked by debris, low on supplies",Infrastructure,Medium,synthetic,keyword_tier_heuristic
164,"Kitchen fire at North Bridge, bleeding heavily, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
165,"Flooding at Koramangala, my neighbor rising water fast, need boat rescue",Flood/Rescue,High,synthetic,keyword_tier_heuristic
166,"Water supply cut off at Green Valley, minor injury, many households affected",Water,Medium,synthetic,keyword_tier_heuristic
167,"Random test message, please ignore, sent from East Ward",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
168,"Fire spreading fast near Palm Grove, my whole family gas leak",Fire,High,synthetic,keyword_tier_heuristic
169,Is there a helpline number for general questions about Kings Cross?,Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
170,"Fire spreading fast near Green Valley, my whole family not breathing",Fire,Critical,synthetic,keyword_tier_heuristic
171,"No food distribution has reached Station Road yet, water rising slowly",Food,Medium,synthetic,keyword_tier_heuristic
172,"Requesting tents and shelter material at Whitefield, small crack in wall",Shelter,Low,synthetic,keyword_tier_heuristic
173,"Sharing an update, everything seems calm near Green Valley today",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
174,"Kitchen fire at Sector 12, not breathing, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
175,"Bridge near Whitefield is damaged, just checking in, road unsafe",Infrastructure,Low,synthetic,keyword_tier_heuristic
176,Medical emergency at Sector 12 - an unknown man road partially blocked,Medical,Medium,synthetic,keyword_tier_heuristic
177,"Fire reported at Green Valley, rising water fast, need fire brigade immediately",Fire,High,synthetic,keyword_tier_heuristic
178,"Communication tower near North Bridge is down, water rising slowly",Infrastructure,Medium,synthetic,keyword_tier_heuristic
179,"my father is severe pain near Fairview Estate, please send medical help",Medical,High,synthetic,keyword_tier_heuristic
180,"Someone collapsed at Koramangala, smoke everywhere, need doctor urgently",Medical,High,synthetic,keyword_tier_heuristic
181,"Fire reported at Rosewood Lane, low on supplies, need fire brigade immediately",Fire,Medium,synthetic,keyword_tier_heuristic
182,"Need food supplies delivered to Hilltop Nagar, power has been out",Food,Medium,synthetic,keyword_tier_heuristic
183,"Temporary shelter overcrowded at Rosewood Lane, road partially blocked same location as before",Shelter,Medium,synthetic,keyword_tier_heuristic
184,"Drinking water contaminated at Central Market, feeling unwell",Water,Medium,synthetic,keyword_tier_heuristic
185,"Temporary shelter overcrowded at Sunrise Township, roof caving in same location as before",Shelter,High,synthetic,keyword_tier_heuristic
186,"Requesting tents and shelter material at East Ward, minor injury",Shelter,Medium,synthetic,keyword_tier_heuristic
187,"Water levels low on supplies at Lakeview Apartments, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
188,"Temporary shelter overcrowded at Sunrise Township, roof caving in",Shelter,High,synthetic,keyword_tier_heuristic
189,"Need an ambulance at Millbrook, my sister rising water fast",Medical,High,synthetic,keyword_tier_heuristic
190,"Water levels feeling unwell at Hilltop Nagar, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
191,"Someone collapsed at Station Road, water rising slowly, need doctor urgently",Medical,Medium,synthetic,keyword_tier_heuristic
192,"Need food supplies delivered to North Bridge, child missing",Food,High,synthetic,keyword_tier_heuristic
193,"Fire spreading fast near Central Market, my sister not breathing",Fire,Critical,synthetic,keyword_tier_heuristic
194,"Flooding at Koramangala, my neighbor rising water fast, need boat rescue same location as before",Flood/Rescue,High,synthetic,keyword_tier_heuristic
195,"Bridge near Harbor District is damaged, water rising slowly, road unsafe",Infrastructure,Medium,synthetic,keyword_tier_heuristic
196,"Kitchen fire at Marina Road, needs help soon, please respond",Fire,Medium,synthetic,keyword_tier_heuristic
197,"Requesting ration kits for Millbrook, non-urgent request",Food,Low,synthetic,keyword_tier_heuristic
198,"Flooding at Station Road, an unknown man buried under rubble, need boat rescue",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
199,"Building unconscious at Old Town, smoke visible for miles",Fire,Critical,synthetic,keyword_tier_heuristic
200,Medical emergency at North Bridge - a child minor injury,Medical,Medium,synthetic,keyword_tier_heuristic
201,"Communication tower near Sector 12 is down, feeling unwell",Infrastructure,Medium,synthetic,keyword_tier_heuristic
202,"Main road to Whitefield blocked by debris, injured",Infrastructure,High,synthetic,keyword_tier_heuristic
203,"Homes destroyed near Rosewood Lane, families need shelter, power has been out",Shelter,Medium,synthetic,keyword_tier_heuristic
204,"Bridge near Hilltop Nagar is damaged, smoke everywhere, road unsafe",Infrastructure,High,synthetic,keyword_tier_heuristic
205,"Need food supplies delivered to Sunrise Township, minor injury",Food,Medium,synthetic,keyword_tier_heuristic
206,"No food distribution has reached Millbrook yet, gas leak",Food,High,synthetic,keyword_tier_heuristic
207,"No clean water available at North Bridge for two days, elderly stuck",Water,High,synthetic,keyword_tier_heuristic
208,"Sharing an update, everything seems calm near Millbrook today",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
209,"Displaced families waiting outside Fairview Estate, injured",Shelter,High,synthetic,keyword_tier_heuristic
210,"Communication tower near East Ward is down, low on supplies",Infrastructure,Medium,synthetic,keyword_tier_heuristic
211,Just wanted to say thank you to the volunteers at Riverside Colony,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
212,"Communication tower near Whitefield is down, minor leak",Infrastructure,Low,synthetic,keyword_tier_heuristic
213,"River overflowing near Green Valley, water rising slowly, send rescue team",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
214,"Water supply cut off at Marina Road, severe pain, many households affected",Water,High,synthetic,keyword_tier_heuristic
215,"Water levels needs help soon at Sector 12, families are stranded",Flood/Rescue,Medium,synthetic,keyword_tier_heuristic
216,Is there a helpline number for general questions about Kings Cross?,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
217,"Requesting tents and shelter material at Marina Road, child missing",Shelter,High,synthetic,keyword_tier_heuristic
218,"No clean water available at Fairview Estate for two days, power has been out",Water,Medium,synthetic,keyword_tier_heuristic
219,Is there a helpline number for general questions about Kings Cross?,Other/Irrelevant,Medium,synthetic,keyword_tier_heuristic
220,"my neighbor is bleeding heavily near Whitefield, please send medical help",Medical,Critical,synthetic,keyword_tier_heuristic
221,"Homes destroyed near Millbrook, families need shelter, feeling unwell",Shelter,Medium,synthetic,keyword_tier_heuristic
222,"Drinking water contaminated at Hilltop Nagar, minor leak",Water,Low,synthetic,keyword_tier_heuristic
223,"Someone collapsed at Kings Cross, rising water fast, need doctor urgently",Medical,High,synthetic,keyword_tier_heuristic
224,"Homes destroyed near Kings Cross, families need shelter, buried under rubble",Shelter,Critical,synthetic,keyword_tier_heuristic
225,"Need water tanker sent to North Bridge, cardiac arrest",Water,Critical,synthetic,keyword_tier_heuristic
226,"Fire reported at Millbrook, low on supplies, need fire brigade immediately",Fire,Medium,synthetic,keyword_tier_heuristic
227,"Need food supplies delivered to Whitefield, minor injury",Food,Medium,synthetic,keyword_tier_heuristic
228,Just wanted to say thank you to the volunteers at Harbor District,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
229,"Need food supplies delivered to Green Valley, general inquiry",Food,Low,synthetic,keyword_tier_heuristic
230,"Requesting ration kits for Harbor District, road partially blocked",Food,Medium,synthetic,keyword_tier_heuristic
231,"Kitchen fire at Old Town, drowning, please respond",Fire,Critical,synthetic,keyword_tier_heuristic
232,"No clean water available at Harbor District for two days, road partially blocked",Water,Medium,synthetic,keyword_tier_heuristic
233,"Main road to Old Town blocked by debris, non-urgent request",Infrastructure,Low,synthetic,keyword_tier_heuristic
234,"Requesting ration kits for Harbor District, unconscious",Food,Critical,synthetic,keyword_tier_heuristic
235,"No clean water available at Sunrise Township for two days, water rising slowly",Water,Medium,synthetic,keyword_tier_heuristic
236,"Water levels severe pain at Harbor District, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
237,"Displaced families waiting outside Hilltop Nagar, feeling unwell",Shelter,Medium,synthetic,keyword_tier_heuristic
238,"Water levels general inquiry at Marina Road, families are stranded",Flood/Rescue,Low,synthetic,keyword_tier_heuristic
239,"Someone collapsed at Sunrise Township, collapsed, need doctor urgently",Medical,Critical,synthetic,keyword_tier_heuristic
240,"Families at Fairview Estate have run out of food, low on supplies",Food,Medium,synthetic,keyword_tier_heuristic
241,Just wanted to say thank you to the volunteers at North Bridge,Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
242,"River overflowing near Fairview Estate, child missing, send rescue team",Flood/Rescue,High,synthetic,keyword_tier_heuristic
243,"River overflowing near Hilltop Nagar, rising water fast, send rescue team",Flood/Rescue,High,synthetic,keyword_tier_heuristic
244,"Requesting ration kits for Sector 12, low on supplies",Food,Medium,synthetic,keyword_tier_heuristic
245,"Drinking water contaminated at Hilltop Nagar, power has been out",Water,Medium,synthetic,keyword_tier_heuristic
246,"Requesting tents and shelter material at Harbor District, gas leak",Shelter,High,synthetic,keyword_tier_heuristic
247,"Bridge near East Ward is damaged, cannot move, road unsafe same location as before",Infrastructure,Critical,synthetic,keyword_tier_heuristic
248,"No clean water available at Kings Cross for two days, cannot move",Water,Critical,synthetic,keyword_tier_heuristic
249,"Random test message, please ignore, sent from North Bridge",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
250,"Water levels roof caving in at North Bridge, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
251,"Sharing an update, everything seems calm near Rosewood Lane today",Other/Irrelevant,Low,synthetic,keyword_tier_heuristic
252,"Displaced families waiting outside Lakeview Apartments, child missing",Shelter,High,synthetic,keyword_tier_heuristic
253,"Drinking water contaminated at Millbrook, stranded",Water,High,synthetic,keyword_tier_heuristic
254,"Displaced families waiting outside Millbrook, general inquiry",Shelter,Low,synthetic,keyword_tier_heuristic
255,"Need food supplies delivered to Palm Grove, gas leak",Food,High,synthetic,keyword_tier_heuristic
256,"Fire spreading fast near Old Town, my whole family bleeding heavily",Fire,Critical,synthetic,keyword_tier_heuristic
257,"Water levels cardiac arrest at Green Valley, families are stranded",Flood/Rescue,Critical,synthetic,keyword_tier_heuristic
258,"Requesting tents and shelter material at Hilltop Nagar, severe pain",Shelter,High,synthetic,keyword_tier_heuristic
259,"Temporary shelter overcrowded at Marina Road, elderly stuck",Shelter,High,synthetic,keyword_tier_heuristic
260,"Water levels gas leak at Hilltop Nagar, families are stranded",Flood/Rescue,High,synthetic,keyword_tier_heuristic
261,"Bridge near Sunrise Township is damaged, smoke everywhere, road unsafe",Infrastructure,High,synthetic,keyword_tier_heuristic
262,"No food distribution has reached Harbor District yet, power has been out same location as before",Food,Medium,synthetic,keyword_tier_heuristic
263,"Water supply cut off at Millbrook, smoke everywhere, many households affected",Water,High,synthetic,keyword_tier_heuristic
264,"No clean water available at Marina Road for two days, low on supplies",Water,Medium,synthetic,keyword_tier_heuristic
